"","Var1","Var2","value"
"2","SGP","SWE",0.0922432558538281
"3","PRT","SWE",0.0220444720776024
"4","NOR","SWE",0.0153977725336545
"5","NLD","SWE",0.0133249837784832
"6","JPN","SWE",0.0327351712780046
"7","ITA","SWE",0.0504529469742085
"8","IRL","SWE",0.113613168184872
"9","HKG","SWE",0.0619815523992172
"10","GBR","SWE",0.0110451685852196
"11","FRA","SWE",0.0280288104815045
"12","FIN","SWE",0.00977663582080751
"13","ESP","SWE",0.0161510192688601
"14","DNK","SWE",0.0232394709178108
"15","DEU","SWE",0.0174770262000917
"16","BEL","SWE",0.0132086201720001
"17","AUT","SWE",0.00982138286198142
"18","AUS","SWE",0.0118621748642837
"19","ZAF","SWE",0.0549838360879595
"20","TUR","SWE",0.0613417968129343
"21","THA","SWE",0.0908777512005372
"22","SAU","SWE",0.10774568196471
"23","PHL","SWE",0.0338691381111553
"24","PER","SWE",0.0488749683453255
"25","PAK","SWE",0.0108044695791231
"26","MYS","SWE",0.0726250543382062
"27","MEX","SWE",0.0505491948541426
"28","KOR","SWE",0.146307436685418
"29","IND","SWE",0.134634496439707
"30","IDN","SWE",0.0772693751235021
"31","GRC","SWE",0.0496264573792442
"32","EGY","SWE",0.0313655385422733
"33","COL","SWE",0.0203934767543645
"34","CHN","SWE",0.310501594518835
"35","CHL","SWE",0.0869326551948193
"36","BRA","SWE",0.0300302949301785
"37","ARG","SWE",0.0329348908744684
"38","ARE","SWE",0.189573657136552
"39","JOR","SWE",0.0859470861851107
"40","OMN","SWE",0.0579527191375661
"41","KEN","SWE",0.0710194320753232
"42","NGA","SWE",0.0255797096601327
"43","MUS","SWE",0.099275073718882
"44","MAR","SWE",0.0636484524397821
"45","TUN","SWE",0.0364224696134167
"46","BGD","SWE",0.100650498042443
"47","LKA","SWE",0.127974237685242
"48","JAM","SWE",0.0546253914048452
"49","PAN","SWE",0.0803880670241898
"50","TTO","SWE",0.0952790774530579
"51","BWA","SWE",0.0510086019478735
"52","ZWE","SWE",0.149338442118297
"53","SWE","SGP",0.0922432558538281
"55","PRT","SGP",0.106215179725678
"56","NOR","SGP",0.101765314070923
"57","NLD","SGP",0.0973532171537013
"58","JPN","SGP",0.12468884485983
"59","ITA","SGP",0.142134720813672
"60","IRL","SGP",0.0253087582839294
"61","HKG","SGP",0.0360747800543417
"62","GBR","SGP",0.100680945715487
"63","FRA","SGP",0.120087857399155
"64","FIN","SGP",0.0891766691101284
"65","ESP","SGP",0.102477145803961
"66","DNK","SGP",0.115298517835462
"67","DEU","SGP",0.109360299338665
"68","BEL","SGP",0.105208487547786
"69","AUT","SGP",0.101880429779632
"70","AUS","SGP",0.0883836538128239
"71","ZAF","SGP",0.146609846878069
"72","TUR","SGP",0.0498035882144201
"73","THA","SGP",0.0116692243946181
"74","SAU","SGP",0.196948942477342
"75","PHL","SGP",0.100807588756698
"76","PER","SGP",0.104263608055156
"77","PAK","SGP",0.0997570351260184
"78","MYS","SGP",0.0289181090542891
"79","MEX","SGP",0.141349486480717
"80","KOR","SGP",0.0569685800990087
"81","IND","SGP",0.0503310240374528
"82","IDN","SGP",0.0340895835489194
"83","GRC","SGP",0.129293722724523
"84","EGY","SGP",0.0671849591329038
"85","COL","SGP",0.095105388690465
"86","CHN","SGP",0.222745801211361
"87","CHL","SGP",0.0128529450633459
"88","BRA","SGP",0.11887933836283
"89","ARG","SGP",0.122655410858697
"90","ARE","SGP",0.278661807121552
"91","JOR","SGP",0.174661390749948
"92","OMN","SGP",0.149978193070534
"93","KEN","SGP",0.16017271420457
"94","NGA","SGP",0.108649556616111
"95","MUS","SGP",0.0125542853891731
"96","MAR","SGP",0.0532066512865977
"97","TUN","SGP",0.060146946799444
"98","BGD","SGP",0.0327970400376604
"99","LKA","SGP",0.0438615351273988
"100","JAM","SGP",0.146667724351784
"101","PAN","SGP",0.060614485455948
"102","TTO","SGP",0.0522897722879223
"103","BWA","SGP",0.06980340286032
"104","ZWE","SGP",0.240750282846614
"105","SWE","PRT",0.0220444720776024
"106","SGP","PRT",0.106215179725678
"108","NOR","PRT",0.0102136488151606
"109","NLD","PRT",0.0106609334675587
"110","JPN","PRT",0.0298245383331455
"111","ITA","PRT",0.0397714016985395
"112","IRL","PRT",0.115728320077777
"113","HKG","PRT",0.0771045321262056
"114","GBR","PRT",0.011132789723595
"115","FRA","PRT",0.0279836793001795
"116","FIN","PRT",0.0171056643736914
"117","ESP","PRT",0.00654649422335041
"118","DNK","PRT",0.0241228070999875
"119","DEU","PRT",0.0188268935485945
"120","BEL","PRT",0.0173631072667746
"121","AUT","PRT",0.0143035087610661
"122","AUS","PRT",0.0195456387366941
"123","ZAF","PRT",0.0765280136106681
"124","TUR","PRT",0.0771427394073296
"125","THA","PRT",0.0948158879298258
