"","Var1","Var2","value"
"2","SGP","SWE",0.0714044621694239
"3","PRT","SWE",0.0239225281462982
"4","NZL","SWE",0.0688569375533578
"5","NOR","SWE",0.0349988721335991
"6","NLD","SWE",0.0174445812697261
"7","JPN","SWE",0.0745235156714454
"8","ITA","SWE",0.0401107760128395
"9","ISR","SWE",0.0506109363650925
"10","IRL","SWE",0.033829733424976
"11","HKG","SWE",0.0391856855862524
"12","GBR","SWE",0.0553099792611914
"13","FRA","SWE",0.0214639379632267
"14","FIN","SWE",0.0146484170543052
"15","ESP","SWE",0.0268338107872529
"16","DNK","SWE",0.00524318965946113
"17","DEU","SWE",0.00762333729806497
"18","CHE","SWE",0.0261461444705928
"19","CAN","SWE",0.0156164852369254
"20","BEL","SWE",0.00963264690696775
"21","AUT","SWE",0.00646920757056924
"22","AUS","SWE",0.0824125793793354
"23","ZAF","SWE",0.0278509193387478
"24","TUR","SWE",0.0721912792523211
"25","THA","SWE",0.0977221465511404
"26","SAU","SWE",0.069885104113366
"27","RUS","SWE",0.156899948608264
"28","POL","SWE",0.074250665512115
"29","PHL","SWE",0.115776960149914
"30","PER","SWE",0.122281908327661
"31","PAK","SWE",0.0694003432529289
"32","MYS","SWE",0.0866018380844356
"33","MEX","SWE",0.0428631396694821
"34","KOR","SWE",0.0540362576349049
"35","IND","SWE",0.129264423153558
"36","IDN","SWE",0.172315720850649
"37","HUN","SWE",0.041343623123947
"38","EGY","SWE",0.0887479198409246
"39","CZE","SWE",0.0641135576345019
"40","COL","SWE",0.104386834808725
"41","CHN","SWE",0.242834995005761
"42","CHL","SWE",0.103326270190405
"43","BRA","SWE",0.119935356697111
"44","ARG","SWE",0.0963898038875372
"45","ISL","SWE",0.0481536497839945
"46","KAZ","SWE",0.185631873025293
"47","ROU","SWE",0.151286347410304
"48","SVN","SWE",0.0185633067457849
"49","BHR","SWE",0.0157570939638402
"50","JOR","SWE",0.0520094823812193
"51","OMN","SWE",0.0413463708577396
"52","KEN","SWE",0.124859912959073
"53","NGA","SWE",0.123295180089221
"54","MUS","SWE",0.0870813765551329
"55","MAR","SWE",0.0322857390140712
"56","TUN","SWE",0.0190582807609789
"57","BGD","SWE",0.141414578799172
"58","LKA","SWE",0.172921352746717
"59","VNM","SWE",0.177538176513327
"60","JAM","SWE",0.0379339496977128
"61","PAN","SWE",0.13636308097331
"62","TTO","SWE",0.0522327430551491
"63","BWA","SWE",0.0420863841090355
"64","ZWE","SWE",0.162437468474849
"65","LBN","SWE",0.02213139528306
"66","SWE","SGP",0.0714044621694239
"68","PRT","SGP",0.0932497868086499
"69","NZL","SGP",0.0177171112762231
"70","NOR","SGP",0.0543549459441041
"71","NLD","SGP",0.0858936035600316
"72","JPN","SGP",0.121812172332631
"73","ITA","SGP",0.109783513433659
"74","ISR","SGP",0.0324428979263018
"75","IRL","SGP",0.0843233926222219
"76","HKG","SGP",0.067529335134409
"77","GBR","SGP",0.126714441430615
"78","FRA","SGP",0.0909347206280156
"79","FIN","SGP",0.0841710147946033
"80","ESP","SGP",0.0966645683752153
"81","DNK","SGP",0.0750803809044205
"82","DEU","SGP",0.0688521184671314
"83","CHE","SGP",0.0461737939989634
"84","CAN","SGP",0.0583690046839286
