"Year","Magnitude","growth","gb","ga","dif","dgrowth_dt","USAMagnitude","ratio","dratio_dt","dratio_dt_mmov","dratio_dt2_mmov","Country","CountryCode"
1960,NA,0,0,NA,NA,0,NA,NA,0,NA,NA,"Sweden","SWE"
1961,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"Sweden","SWE"
1962,2310,NA,0,8.54409126438889,8.54409126438889,NA,3280,0.704268292682927,NA,NA,NA,"Sweden","SWE"
1963,2490,7.79220779220779,0,9.48666785156478,9.48666785156478,2.24795285036249,3410,0.730205278592375,2.59369859094486,NA,NA,"Sweden","SWE"
1964,2740,10.0401606425703,0,8.96615754350341,8.96615754350341,-2.01096356227831,3610,0.759002770083102,2.87974914907271,NA,NA,"Sweden","SWE"
1965,2960,8.02919708029197,0,9.76588003332142,9.76588003332142,-0.2589268100217,3880,0.762886597938144,0.388382785504182,NA,NA,"Sweden","SWE"
1966,3190,7.77027027027027,NA,12.132787757372,NA,0.693679572989918,4190,0.761336515513127,-0.155008242501775,NA,NA,"Sweden","SWE"
1967,3460,8.46394984326019,NA,14.0239560168455,NA,0.495587728994147,4370,0.791762013729977,3.04254982168506,1.74987442094101,NA,"Sweden","SWE"
1968,3770,8.95953757225434,NA,15.3747247086546,NA,-0.206221922386961,4740,0.795358649789029,0.359663605905236,1.30306742393308,-0.446806997007925,"Sweden","SWE"
1969,4100,8.75331564986737,8.54409126438889,14.911652619191,6.36756135480212,5.63692825257165,5070,0.808678500986193,1.33198511971638,0.993514618061817,-0.309552805871265,"Sweden","SWE"
1970,4690,14.390243902439,9.48666785156478,13.6154983730004,4.12883052143558,-7.9936554162983,5230,0.896749521988528,8.80710210023344,2.67725848100767,1.68374386294585,"Sweden","SWE"
1971,4990,6.39658848614072,8.96615754350341,14.1821504796873,5.21599293618391,7.23066602287731,5620,0.887900355871886,-0.884916611664166,2.53127680717519,-0.145981673832478,"Sweden","SWE"
1972,5670,13.627254509018,9.76588003332142,14.9068054764499,5.14092544312852,10.7113698296063,6280,0.902866242038217,1.49658861663304,2.22208456616479,-0.309192241010403,"Sweden","SWE"
1973,7050,24.3386243386243,12.132787757372,13.8542771854401,1.72148942806805,-2.63649667904987,7290,0.967078189300412,6.4211947262195,3.43439079022764,1.21230622406285,"Sweden","SWE"
1974,8580,21.7021276595745,14.0239560168455,10.9438989153274,-3.08005710151804,-3.28720924465605,7980,1.07518796992481,10.8109780624401,5.33018937877238,1.89579858854473,"Sweden","SWE"
1975,10160,18.4149184149184,15.3747247086546,6.87077105440721,-8.50395365424741,-12.9031073912964,8510,1.19388954171563,11.8701571790817,5.94280039454202,0.612611015769644,"Sweden","SWE"
1976,10720,5.51181102362205,14.911652619191,4.08010624537636,-10.8315463738146,-0.194646844517569,8960,1.19642857142857,0.253902971294262,6.17056431113371,0.227763916591686,"Sweden","SWE"
1977,11290,5.31716417910448,13.6154983730004,2.76173434630556,-10.8537640266948,5.04598905384503,9590,1.17726798748697,-1.91605839416058,5.48803490897498,-0.682529402158725,"Sweden","SWE"
1978,12460,10.3631532329495,14.1821504796873,1.34711666918242,-12.8350338105049,8.33668625340683,10760,1.15799256505576,-1.92754224312035,3.81828751510701,-1.66974739386797,"Sweden","SWE"
1979,14790,18.6998394863563,14.9068054764499,1.13311600861514,-13.7736894678348,-1.72891318480124,12200,1.21229508196721,5.4302516911451,2.74214224084802,-1.07614527425899,"Sweden","SWE"
1980,17300,16.9709263015551,13.8542771854401,2.46417275819262,-11.3901044272474,-15.641446532769,13380,1.29297458893871,8.06795069715014,1.98170094446171,-0.760441296386305,"Sweden","SWE"
1981,17530,1.32947976878613,10.9438989153274,5.83829666371432,-5.10560225161311,-11.4264563803092,14360,1.22075208913649,-7.22224998022243,0.486470354158377,-1.49523059030334,"Sweden","SWE"
1982,15760,-10.0969766115231,6.87077105440721,8.40279122600537,1.53202017159816,-3.92586602807081,14220,1.10829817158931,-11.2453917547179,-1.3793963179531,-1.86586667211147,"Sweden","SWE"
